PO00001	PR00001	200.0	SUP002	2025-06-08T12:46:18.671224600	2026-01-01	EXTENDED	AD001	AD001	None
PO00002	PR00002	470.0	SUP001	2025-06-08T13:22:35.489137300	2025-07-20	DELETED	AD001	AD001	None
PO00003	PR00002	640.0	SUP001	2025-06-08T16:25:27.596929	2025-07-12	DELETED	AD001	AD001	None
PO00004	PR00004	1200.0	SUP005	2025-06-08T17:30:12.563054300	2025-09-05	REPORTED	AD001	FM001	None
PO00005	PR00005	450.0	SUP003	2025-06-08T17:30:42.264367900	2025-08-13	ARRIVED	AD001	FM001	approved
PO00006	PR00006	160.0	SUP006	2025-06-08T17:31:03.866229300	2025-06-18	NEW	AD001	AD002	None
PO00007	PR00007	165.0	SUP001	2025-06-08T17:31:42.824723700	2025-07-29	REPORTED	AD001	FM001	None
PO00008	PR00009	160.0	SUP004	2025-06-08T17:31:58.595762700	2025-07-04	COMPLETED	AD001	FM001	None
PO00009	PR00012	185.0	SUP006	2025-06-08T17:32:32.380020900	2025-12-20	CONFIRMED	AD001	FM001	None
PO00010	PR00013	1125.0	SUP004	2025-06-08T17:33:04.750087200	2026-06-29	VERIFIED	AD001	AD002	None
PO00011	PR00019	576.0	SUP008	2025-06-14T17:26:07.213578900	2025-07-06	REPORTED	AD002	AD002	None
PO00012	PR00020	350.0	SUP004	2025-06-14T22:16:41.291941500	2025-08-15	COMPLETED	AD002	AD002	None
PO00013	PR00021	770.0	SUP002	2025-06-14T23:13:24.462472600	2025-07-07	ARRIVED	PM001	FM001	None
PO00014	PR00022	320.0	SUP009	2025-06-14T23:45:18.758608900	2025-08-04	CONFIRMED	PM001	FM001	None
PO00015	PR00026	750.0	SUP008	2025-06-15T16:42:44.156922	2025-09-01	REPORTED	AD004	AD004	None
